filename,split
pump-001.heic,train
pump-002-lukoil-spb-ru.png,train
pump-003-kz-95-kzt.jpg,train
pump-004-kz-95-kzt-tokheim.jpg,train
pump-005-dresser-wayne-four-prices-ru.png,train
pump-006-kz-adast-92-kzt.png,train
pump-007-lukoil-spb-comma-decimals-ru.png,train
pump-008-topaz-video-overlay-92-ru.png,heldout
pump-009-gilbarco-zero-padded-ru.png,train
pump-010-scheidt-preset-amount-ru.png,train
pump-011-gilbarco-circlek-ee-zero-padded.heic,train
pump-012-gilbarco-circlek-ee-glare-total.heic,train
pump-013-dresser-wayne-ee-four-prices.heic,train
pump-014-dresser-wayne-ee-glare-partial.heic,heldout
pump-015-dresser-wayne-ee-diesel.heic,train
pump-016-wayne-ee-idle-zero.heic,train
pump-017-wayne-ee-idle-zero-angled.heic,train
pump-018-gilbarco-tatneft-tver-98-ru.jpeg,train
pump-019-gilbarco-circlek-sikupilli-pump8-ee.jpg,heldout
pump-020-gilbarco-circlek-sikupilli-pump7-ee.jpg,train
pump-021-wayne-circlek-sun-glare-ee.jpg,train
pump-022-wayne-circlek-pump1-glare-ee.jpg,train
pump-023-wayne-circlek-glare-ee.jpg,heldout
pump-024-wayne-neste-ee-three-grade-prices.jpg,train
pump-025-wayne-neste-ee-glare-obscured-total.jpg,train
pump-026-gilbarco-circlek-ee-comma-decimal.jpg,train
pump-027-gilbarco-circlek-ee-comma-glare.jpg,train
pump-028-gilbarco-circlek-ee-comma-decimal-b.jpg,heldout
pump-029-dresser-wayne-gpn-okulovka-ru-glare-total.jpg,train
pump-030-tokheim-zolotaya-seredina-tver-ru-comma.jpg,heldout
pump-031-gilbarco-circlek-ee-discount-mismatch.jpg,heldout
pump-032-gilbarco-circlek-ee-clean.jpg,heldout
pump-033-dresser-wayne-circlek-ee-fourprice-95.jpg,train
pump-034-dresser-wayne-circlek-tallinn-ee-db0-pair.jpg,train
pump-035-dresser-wayne-circlek-ee-rain-pump8.jpg,heldout
pump-036-dresser-wayne-circlek-ee-pump4-95.jpg,train
pump-037-dresser-wayne-circlek-ee-pump3-diesel.jpg,train
pump-038-dresser-wayne-circlek-ee-reflection-95.jpg,heldout
pump-039-gilbarco-circlek-ee-1839-clean.jpg,train
pump-040-gilbarco-circlek-ee-pump4-wide.jpg,train
pump-041-dresser-wayne-circlek-ee-glare-total.jpg,heldout
pump-042-dresser-wayne-circlek-ee-preset-20eur.jpg,heldout
pump-043-dresser-wayne-circlek-ee-pump8-95.jpg,train
pump-044-rn-tver-chkalovskaya-95-comma-truncated-price-ru.jpeg,train
pump-045-gilbarco-circlek-ee-1799-zeropad.jpg,train
pump-046-gilbarco-circlek-ee-pump7-95-badge.jpg,heldout
